time,heal_pos0,heal_pos1,heal_pos2,heal_pos3,heal_pos4,heal_pos5,heal_pos6,heal_vel0,heal_vel1,heal_vel2,heal_vel3,heal_vel4,heal_vel5,heal_vel6,heal_effort0,heal_effort1,heal_effort2,heal_effort3,heal_effort4,heal_effort5,heal_effort6,fr3_pos0,fr3_pos1,fr3_pos2,fr3_pos3,fr3_pos4,fr3_pos5,fr3_pos6,fr3_vel0,fr3_vel1,fr3_vel2,fr3_vel3,fr3_vel4,fr3_vel5,fr3_vel6,fr3_effort0,fr3_effort1,fr3_effort2,fr3_effort3,fr3_effort4,fr3_effort5,fr3_effort6
1750014959.117972,0.126944,0.374712,0.084434,-0.579862,0.649479,0.070575,,0.021105,0.092064,0.043756,-0.127555,0.131424,0.033419,,0.410968,-28.8903,14.1606,0.853724,0.182195,0.942915,,-0.006086,-0.357315,-0.016652,-2.563306,-0.007351,2.205914,0.764303,0.000523,0.142519,-0.005417,1.4e-05,0.000242,0.137551,-0.003446,0.066578,-16.45261,-0.679826,21.70356,0.339549,2.354054,-0.240736
1750014959.151221,0.127879,0.378785,0.086255,-0.585228,0.655157,0.072013,,0.019824,0.096508,0.043253,-0.12583,0.133568,0.033479,,-0.09788,-30.3112,13.7744,0.685348,0.191328,0.917881,,-0.006116,-0.352479,-0.016773,-2.563262,-0.007351,2.210531,0.76417,-0.000533,0.142311,-0.003969,0.001127,-0.000199,0.138171,-0.004993,0.066578,-17.142918,-0.707597,21.997139,0.35969,2.445607,-0.214186
1750014959.184599,0.128657,0.382606,0.088003,-0.590343,0.660499,0.073342,,0.019453,0.09343,0.039324,-0.124501,0.133544,0.032605,,0.286515,-31.6714,13.5528,0.73393,0.178381,0.899315,,-0.006145,-0.347771,-0.016891,-2.563133,-0.007352,2.215157,0.76405,-0.00054,0.139496,-0.002868,0.006537,-0.00066,0.13471,-0.003384,0.042774,-16.758091,-0.759171,21.774971,0.392649,2.505116,-0.214186
1750014959.217784,0.128657,0.382606,0.088003,-0.590343,0.660499,0.073342,,0.019453,0.09343,0.039324,-0.124501,0.133544,0.032605,,0.286515,-31.6714,13.5528,0.73393,0.178381,0.899315,,-0.006177,-0.342976,-0.017011,-2.562925,-0.007346,2.219735,0.763925,-0.001422,0.143022,-0.002108,0.003744,0.001204,0.131798,-0.002877,0.094349,-17.499973,-0.759171,21.826546,0.424693,2.406239,-0.247145
1750014959.251035,0.129496,0.386283,0.089633,-0.595254,0.665614,0.074648,,0.021776,0.094771,0.042487,-0.123974,0.130861,0.033143,,-0.140542,-31.7641,13.2502,0.799267,0.157346,0.842179,,-0.006202,-0.338216,-0.017134,-2.562752,-0.00734,2.224264,0.763791,-0.001058,0.139008,-0.003907,0.005669,0.000301,0.137167,-0.003433,0.042774,-17.142918,-0.7314,21.802742,0.444834,2.393422,-0.220595
1750014959.284382,0.130382,0.3902,0.091453,-0.600501,0.671124,0.076049,,0.021189,0.093142,0.044271,-0.123591,0.130622,0.032341,,-0.147987,-30.3397,13.359,0.681993,0.168086,0.889014,,-0.006228,-0.333397,-0.017254,-2.562432,-0.00733,2.228986,0.76366,-0.000875,0.142283,-0.003729,0.009266,0.001879,0.136775,-0.003177,0.042774,-16.885044,-0.7314,21.38221,0.477793,2.347646,-0.220595
1750014959.317642,0.131233,0.393949,0.093262,-0.605579,0.676382,0.077355,,0.02101,0.09446,0.043097,-0.128118,0.129053,0.033443,,0.353629,-28.3585,13.7519,0.767746,0.196076,0.899554,,-0.006251,-0.32851,-0.017382,-2.56219,-0.007323,2.233622,0.763524,0.000126,0.14429,-0.004004,0.006159,-5e-05,0.136922,-0.004743,0.01897,-17.603123,-0.7314,21.651985,0.516245,2.399831,-0.187636
1750014959.350769,0.132095,0.39801,0.095166,-0.611053,0.681952,0.078816,,0.019848,0.092867,0.045253,-0.126944,0.131484,0.035,,0.384937,-29.8287,14.0068,1.03656,0.204101,0.886858,,-0.006285,-0.323657,-0.017515,-2.561971,-0.007307,2.238145,0.763402,0.000416,0.141992,-0.00381,0.007263,0.001154,0.129816,-0.003134,0.066578,-17.603123,-0.707597,21.802742,0.536387,2.465749,-0.240736
1750014959.384474,0.132766,0.401232,0.096712,-0.615425,0.68642,0.079954,,0.021225,0.094136,0.041624,-0.126681,0.129711,0.034629,,0.983088,-29.3438,13.3812,1.25818,0.264877,0.959565,,-0.00631,-0.318826,-0.017636,-2.561632,-0.007293,2.242628,0.763266,9.9e-05,0.146519,-0.003867,0.011287,-4e-06,0.132533,-0.00476,0.066578,-17.805454,-0.679826,21.552803,0.594981,2.399831,-0.214186
1750014960.784362,0.16016,0.537819,0.171851,-0.78591,0.859336,0.130155,,0.018997,0.099586,0.06388,-0.117086,0.116607,0.036893,,-0.052553,-37.8495,14.286,0.540907,0.254279,1.06485,,-0.007146,-0.10878,-0.022065,-2.52692,-0.003732,2.418015,0.756692,-0.001244,0.155439,-0.001296,0.039704,0.003681,0.113509,-0.004315,0.094349,-23.331882,-0.529069,20.243599,0.988658,2.43279,-0.267287
