time,heal_pos0,heal_pos1,heal_pos2,heal_pos3,heal_pos4,heal_pos5,heal_pos6,heal_vel0,heal_vel1,heal_vel2,heal_vel3,heal_vel4,heal_vel5,heal_vel6,heal_effort0,heal_effort1,heal_effort2,heal_effort3,heal_effort4,heal_effort5,heal_effort6,fr3_pos0,fr3_pos1,fr3_pos2,fr3_pos3,fr3_pos4,fr3_pos5,fr3_pos6,fr3_vel0,fr3_vel1,fr3_vel2,fr3_vel3,fr3_vel4,fr3_vel5,fr3_vel6,fr3_effort0,fr3_effort1,fr3_effort2,fr3_effort3,fr3_effort4,fr3_effort5,fr3_effort6
1750016694.116061,0.211115,0.868991,0.410108,-1.203210,1.249550,0.284589,nan,0.000599,-0.001593,-0.003893,-0.019237,0.016745,0.009475,nan,4.287210,-32.396400,12.211900,0.105038,0.532987,0.976814,nan,-0.014091,0.347079,-0.021360,-2.329505,0.016201,2.676444,0.736739,0.000189,-0.000255,0.000791,-0.002766,-0.000467,0.000038,0.001871,0.141956,-34.511692,0.157272,16.688911,0.974925,2.452016,-0.254469
1750016694.149783,0.211151,0.868943,0.409940,-1.203970,1.250270,0.284960,nan,0.000012,-0.001258,-0.003929,-0.019381,0.017189,0.008912,nan,3.489740,-32.721800,12.485100,0.007401,0.524126,1.008320,nan,-0.014095,0.347097,-0.021360,-2.329488,0.016204,2.676447,0.736733,-0.000583,0.000701,0.000478,0.001256,-0.001675,-0.002015,-0.000589,0.193531,-34.535496,0.157272,16.637337,0.974925,2.478566,-0.240736
1750016694.184048,0.211139,0.868883,0.409784,-1.204750,1.250970,0.285331,nan,0.000467,-0.001330,-0.003797,-0.018961,0.016458,0.008864,nan,3.840700,-32.387300,12.474100,0.033644,0.487929,0.997296,nan,-0.014093,0.347111,-0.021358,-2.329480,0.016209,2.676457,0.736733,-0.000039,-0.000529,0.000832,0.001078,0.000803,0.002395,-0.000251,0.169727,-34.535496,0.129501,16.613533,0.988658,2.465749,-0.247145
1750016694.217904,0.211151,0.868859,0.409641,-1.205540,1.251640,0.285679,nan,0.000000,-0.001270,-0.003809,-0.018374,0.016075,0.008205,nan,3.657810,-33.473800,12.062200,0.073812,0.493195,1.026880,nan,-0.014090,0.347122,-0.021359,-2.329471,0.016210,2.676463,0.736733,0.001722,0.000483,0.000630,0.001018,0.001408,-0.000955,0.000109,0.118152,-34.535496,0.157272,16.637337,0.988658,2.459340,-0.247145
1750016694.252100,0.211151,0.868859,0.409641,-1.205540,1.251640,0.285679,nan,0.000000,-0.001270,-0.003809,-0.018374,0.016075,0.008205,nan,3.657810,-33.473800,12.062200,0.073812,0.493195,1.026880,nan,-0.014092,0.347143,-0.021359,-2.329461,0.016209,2.676467,0.736735,0.000808,0.000692,0.000287,0.000263,0.000496,-0.000723,0.001830,0.118152,-34.563267,0.181075,16.637337,0.962107,2.465749,-0.260878
1750016694.285824,0.211151,0.868799,0.409485,-1.206270,1.252320,0.286026,nan,0.000216,-0.001270,-0.003653,-0.018267,0.016051,0.008660,nan,3.725880,-33.147900,12.120700,-0.004592,0.515924,1.056830,nan,-0.014096,0.347159,-0.021357,-2.329458,0.016211,2.676472,0.736730,-0.000224,0.000720,0.000695,-0.001154,0.001615,-0.000374,-0.001018,0.141956,-34.563267,0.157272,16.688911,0.968516,2.465749,-0.220595
1750016694.320120,0.211163,0.868739,0.409341,-1.207010,1.252960,0.286362,nan,0.000000,-0.001461,-0.003857,-0.017943,0.015739,0.008301,nan,3.501150,-32.778800,11.726300,0.012516,0.527343,1.067610,nan,-0.014096,0.347166,-0.021363,-2.329442,0.016210,2.676477,0.736732,0.000143,-0.000109,-0.001016,-0.000077,0.000480,0.000179,-0.001099,0.169727,-34.511692,0.208846,16.637337,0.981333,2.459340,-0.240736
1750016694.353993,0.211163,0.868691,0.409162,-1.207790,1.253620,0.286697,nan,0.000000,-0.001330,-0.003869,-0.017907,0.015991,0.008397,nan,3.573050,-32.631700,12.554000,0.102747,0.534852,1.081020,nan,-0.014097,0.347184,-0.021358,-2.329434,0.016208,2.676485,0.736731,-0.001011,-0.000405,-0.000062,0.000090,0.001207,0.000501,-0.001541,0.169727,-34.563267,0.181075,16.637337,0.968516,2.459340,-0.227003
1750016694.387817,0.211163,0.868643,0.409030,-1.208540,1.254270,0.287032,nan,0.000000,-0.001282,-0.003797,-0.017524,0.015524,0.008109,nan,3.632370,-33.350100,11.667700,0.133669,0.562057,1.106900,nan,-0.014099,0.347192,-0.021357,-2.329424,0.016206,2.676488,0.736731,-0.001163,-0.000397,0.000297,0.000302,0.000069,0.000332,-0.000084,0.169727,-34.535496,0.157272,16.613533,0.988658,2.452016,-0.267287
1750016694.422094,0.211163,0.868596,0.408886,-1.209190,1.254880,0.287368,nan,0.000000,-0.001401,-0.003725,-0.017416,0.015416,0.008277,nan,3.692170,-33.356100,11.805200,0.118295,0.502647,1.067850,nan,-0.014099,0.347211,-0.021356,-2.329418,0.016207,2.676492,0.736728,-0.001109,0.000709,0.000625,0.001150,0.000604,0.000595,-0.002393,0.169727,-34.587070,0.157272,16.613533,0.974925,2.459340,-0.214186
1750016694.455824,0.211163,0.868584,0.408886,-1.209240,1.254910,0.287416,nan,0.000000,-0.001258,-0.003749,-0.018231,0.014697,0.008768,nan,3.691900,-33.006800,11.448300,0.128008,0.522549,0.988193,nan,-0.014099,0.347218,-0.021362,-2.329413,0.016209,2.676500,0.736725,-0.000395,0.000945,-0.001696,-0.000164,-0.000624,0.000890,-0.002831,0.169727,-34.535496,0.232650,16.637337,0.968516,2.452016,-0.220595
1750016694.490106,0.211151,0.868536,0.408730,-1.209940,1.255560,0.287751,nan,0.000000,-0.001270,-0.003857,-0.016913,0.015619,0.008349,nan,4.038790,-33.229400,11.746000,0.113651,0.468334,1.028320,nan,-0.014100,0.347228,-0.021358,-2.329409,0.016210,2.676501,0.736731,0.000027,-0.001898,0.000109,-0.000286,0.001051,-0.000033,-0.000194,0.169727,-34.511692,0.181075,16.637337,0.988658,2.459340,-0.267287
1750016694.523880,0.211163,0.868476,0.408587,-1.210610,1.256160,0.288086,nan,0.000000,-0.001210,-0.003713,-0.016829,0.015272,0.007870,nan,3.798880,-32.849700,11.535900,0.084293,0.504478,1.027360,nan,-0.014097,0.347245,-0.021356,-2.329402,0.016212,2.676506,0.736733,-0.000418,0.002810,-0.000199,-0.000243,0.001142,0.000203,0.001822,0.141956,-34.587070,0.181075,16.637337,0.974925,2.459340,-0.287428
1750016694.557848,0.211163,0.868416,0.408431,-1.211300,1.256830,0.288446,nan,0.000000,-0.001354,-0.003474,-0.017153,0.014685,0.008493,nan,3.846430,-32.669500,11.514800,0.015861,0.459688,0.956451,nan,-0.014100,0.347250,-0.021354,-2.329399,0.016211,2.676512,0.736727,0.000255,0.000031,-0.000250,-0.001284,-0.000788,0.000727,0.000283,0.169727,-34.535496,0.129501,16.665108,0.981333,2.452016,-0.240736
1750016694.591631,0.211163,0.868368,0.408299,-1.211940,1.257420,0.288757,nan,0.000000,-0.001258,-0.003366,-0.016913,0.015368,0.007942,nan,3.893920,-32.742100,11.487500,-0.030909,0.396468,0.977772,nan,-0.014098,0.347258,-0.021354,-2.329392,0.016213,2.676515,0.736725,0.000481,-0.000110,0.001024,-0.001052,0.001554,0.001057,-0.001341,0.118152,-34.511692,0.129501,16.688911,0.968516,2.459340,-0.220595
1750016694.625926,0.211187,0.868380,0.408299,-1.211970,1.257450,0.288769,nan,-0.000036,-0.001222,-0.003414,-0.016662,0.015320,0.008073,nan,3.297410,-33.398000,11.150500,-0.023308,0.411225,0.966393,nan,-0.014102,0.347268,-0.021356,-2.329380,0.016213,2.676520,0.736731,-0.000132,0.000394,-0.000176,0.001489,0.000457,0.000193,0.000137,0.169727,-34.535496,0.157272,16.613533,0.968516,2.452016,-0.267287
1750016694.672709,0.211175,0.868284,0.408024,-1.213270,1.258590,0.289392,nan,0.000000,-0.001126,-0.002971,-0.016075,0.013787,0.007630,nan,3.701710,-33.450300,11.901800,-0.079242,0.454902,0.962200,nan,-0.014102,0.347278,-0.021358,-2.329378,0.016213,2.676519,0.736728,-0.000295,0.001241,-0.000534,-0.000273,0.000113,-0.002566,0.000098,0.169727,-34.563267,0.181075,16.665108,0.981333,2.465749,-0.274611
1750016694.706606,0.211187,0.868212,0.407904,-1.213900,1.259180,0.289704,nan,0.000000,-0.001114,-0.002947,-0.015895,0.013978,0.007331,nan,3.426230,-32.535400,11.594200,-0.193140,0.471660,0.950821,nan,-0.014100,0.347280,-0.021356,-2.329374,0.016217,2.676524,0.736728,-0.000271,-0.000663,0.001014,-0.001432,0.002711,-0.000341,0.000281,0.141956,-34.511692,0.157272,16.665108,0.968516,2.465749,-0.254469
1750016694.739562,0.211187,0.868164,0.407784,-1.214540,1.259730,0.290027,nan,0.000000,-0.001066,-0.002971,-0.015931,0.013475,0.007618,nan,3.474190,-32.500400,11.632400,-0.171216,0.485325,0.904825,nan,-0.014102,0.347287,-0.021360,-2.329364,0.016211,2.676526,0.736729,-0.000184,-0.000575,-0.001155,0.000247,0.000130,-0.000630,0.000709,0.169727,-34.511692,0.208846,16.613533,0.981333,2.452016,-0.254469
1750016694.772700,0.211187,0.868116,0.407664,-1.215090,1.260220,0.290266,nan,0.000000,-0.001126,-0.002779,-0.015548,0.013392,0.007235,nan,3.510150,-32.106300,12.369700,-0.140554,0.420053,0.937405,nan,-0.014100,0.347298,-0.021354,-2.329357,0.016215,2.676531,0.736724,-0.000063,-0.001950,0.000760,0.000176,0.001103,0.000230,-0.000633,0.141956,-34.511692,0.129501,16.613533,0.974925,2.445607,-0.207777
